Referentiecode	Referentienummer	Omschrijving	D/C	Niveau	ReferentieOmslagcode	
WAfsOwmBgm	4104110	Overige waardeverandering buitengebruikgestelde materiële vaste activa	D	4		
WAfsOwmOmv	4104120	Overige waardeverandering overige materiële vaste activa	D	4		
WAfsRviOek	4105010	Resultaat verkoop oprichtingskosten en kosten uitgifte van aandelen	C	4		
WAfsRviKoe	4105020	Resultaat verkoop kosten onderzoek en ontwikkeling	C	4		
WAfsRviCev	4105030	Resultaat verkoop concessies en vergunningen	C	4		
WAfsRviSof	4105040	Resultaat verkoop software	C	4		
WAfsRviOie	4105050	Resultaat verkoop overig intellectueel eigendom	C	4		
WAfsRviBou	4105060	Resultaat verkoop bouwclaims	C	4		
WAfsRviGoo	4105070	Resultaat verkoop goodwill	C	4		
WAfsRviGue	4105080	Resultaat verkoop goodwill uit eerdere overnames	C	4		
WAfsRviViv	4105090	Resultaat verkoop vooruitbetaalde immateriële vaste activa	C	4		
WAfsRviOiv	4105100	Resultaat verkoop overige immateriële vaste activa	C	4		
WAfsRvmBeg	4106010	Resultaat verkoop bedrijfsgebouwen	C	4		
WAfsRvmVeb	4106020	Resultaat verkoop verbouwingen	C	4		
WAfsRvmVas	4106030	Resultaat verkoop vastgoedbeleggingen	C	4		
WAfsRvmHuu	4106040	Resultaat verkoop huurdersinvesteringen	C	4		
WAfsRvmMei	4106050	Resultaat verkoop machines en installaties	C	4		
WAfsRvmSev	4106060	Resultaat verkoop schepen en vliegtuigen	C	4		
WAfsRvmTev	4106070	Resultaat verkoop transport- en vervoermiddelen	C	4		
WAfsRvmObe	4106080	Resultaat verkoop overige vaste bedrijfsmiddelen	C	4		
WAfsRvmBei	4106090	Resultaat verkoop bedrijfsinventaris	C	4		
WAfsRvmVbi	4106100	Resultaat verkoop vaste bedrijfsmiddelen in uitvoering en vooruitbetaalde materiële vaste activa	C	4		
WAfsRvmBgm	4106110	Resultaat verkoop buitengebruikgestelde materiële vaste activa	C	4		
WAfsRvmOmv	4106120	Resultaat verkoop overige materiële vaste activa	C	4		
WAfsDaeDaf	4199010	Doorberekende afschrijvingen	C	4		
WAfsDaeDow	4199020	Doorberekende waardeveranderingen	C	4		
WAfsDaeDve	4199030	Doorberekende verkoopresultaten	C	4		
WBedHuiErf	4201010	Erfpacht	D	4		
WBedHuiLee	4201020	Leefbaarheid	D	4		
WBedHuiLas	4201030	Lasten servicecontracten	D	4		
WBedHuiBeh	4201040	Betaalde huur	D	4		
WBedHuiOhu	4201050	Ontvangen huursuppletie	D	4		
WBedHuiHuw	4201060	Huurwaarde woongedeelte	D	4		
WBedHuiOnt	4201070	Onderhoud terreinen	D	4		
WBedHuiOng	4201080	Onderhoud gebouwen	D	4		
WBedHuiSch	4201090	Schoonmaakkosten	D	4		
WBedHuiSer	4201100	Servicekosten	D	4		
WBedHuiGas	4201110	Gas	D	4		
WBedHuiElk	4201120	Elektra	D	4		
WBedHuiWat	4201130	Water	D	4		
WBedHuiNed	4201140	Netdiensten	D	4		
WBedHuiPre	4201150	Privé-gebruik energie	D	4		
WBedHuiAoz	4201160	Assurantiepremies onroerende zaak	D	4		
WBedHuiOnz	4201170	Onroerende zaakbelasting	D	4		
WBedHuiMez	4201180	Milieuheffingen en zuiveringsleges	D	4		
WBedHuiObh	4201190	Overige belastingen inzake huisvesting	D	4		
WBedHuiOvh	4201200	Overige vaste huisvestingslasten	D	4		
WBedHuiDrg	4201210	Dotatie reserve assurantie eigen risico gebouwen	D	4		
WBedHuiVrg	4201220	Vrijval reserve assurantie eigen risico gebouwen	C	4		
WBedHuiDvg	4201230	Dotatie voorziening groot onderhoud gebouwen	D	4		
WBedHuiVgb	4201240	Vrijval voorziening groot onderhoud gebouwen	C	4		
WBedHuiDkg	4201250	Dotatie kostenegalisatiereserve groot onderhoud gebouwen	D	4		
WBedHuiVkg	4201260	Vrijval kostenegalisatiereserve groot onderhoud gebouwen	C	4		
WBedHuiOhv	4201270	Overige huisvestingskosten	D	4		
WBedHuiDoh	4201990	Doorberekende huisvestingskosten	C	4		
WBedEemRoi	4202010	Reparatie en onderhoud inventaris	D	4		
WBedEemOls	4202020	Operational leasing inventaris	D	4		
WBedEemHui	4202030	Huur inventaris	D	4		
WBedEemKai	4202040	Kleine aanschaffingen inventaris	D	4		
WBedEemGsk	4202050	Gereedschapskosten	D	4		
WBedEemDvi	4202060	Dotatie voorziening groot onderhoud inventaris	D	4		
WBedEemVoi	4202070	Vrijval voorziening groot onderhoud inventaris	C	4		
WBedEemDki	4202080	Dotatie kostenegalisatiereserve groot onderhoud inventaris	D	4		
WBedEemVki	4202090	Vrijval kostenegalisatiereserve groot onderhoud inventaris	C	4		
WBedEemOki	4202100	Overige kosten inventaris	D	4		
WBedEemRom	4202110	Reparatie en onderhoud machines	D	4		
WBedEemOlm	4202120	Operational leasing machines	D	4		
WBedEemHum	4202130	Huur machines	D	4		
WBedEemOme	4202140	Onderhoud machines en installaties	D	4		
WBedEemBrm	4202150	Brandstof machines	D	4		
WBedEemKam	4202160	Kleine aanschaffingen machines	D	4		
WBedEemDvm	4202170	Dotatie voorziening groot onderhoud machines	D	4		
WBedEemVgo	4202180	Vrijval voorziening groot onderhoud machines	C	4		
WBedEemDkm	4202190	Dotatie kostenegalisatiereserve groot onderhoud machines	D	4		
WBedEemVkm	4202200	Vrijval kostenegalisatiereserve groot onderhoud machines	C	4		
WBedEemObm	4202210	Overige belastingen inzake exploitatie en machines	D	4		
WBedEemOkm	4202220	Overige kosten machines	D	4		
WBedEemWdd	4202230	Werk door derden	D	4		
WBedEemDrm	4202240	Dotatie reserve assurantie eigen risico machines	D	4		
WBedEemVrm	4202250	Vrijval reserve assurantie eigen risico machines	C	4		
WBedEemAme	4202260	Assurantiepremie machines en inventaris	D	4		
WBedEemVpm	4202270	Verpakkingsmaterialen	D	4		
WBedEemOee	4202280	Overige exploitatie- en machinekosten	D	4		
WBedEemDem	4202990	Doorberekende exploitatie- en machinekosten	C	4		
WBedVkkRea	4203010	Reclame- en advertentiekosten	D	4		
WBedVkkKos	4203020	Kosten sponsoring	D	4		
WBedVkkBeu	4203030	Beurskosten	D	4		
WBedVkkRel	4203040	Relatiegeschenken	D	4		
WBedVkkKer	4203050	Kerstpakketten relaties	D	4		
WBedVkkRep	4203060	Representatiekosten	D	4		
WBedVkkRev	4203070	Reis- en verblijfkosten	D	4		
WBedVkkEta	4203080	Etalagekosten	D	4		
WBedVkkVrk	4203090	Vrachtkosten	D	4		
WBedVkkInc	4203100	Incassokosten	D	4		
WBedVkkKmz	4203110	Kilometervergoeding zakelijke reizen	D	4		
WBedVkkKmw	4203120	Kilometervergoeding woon-werkverkeer	D	4		
WBedVkkVkp	4203130	Verkoopprovisie	D	4		
WBedVkkCom	4203140	Commissies	D	4		
WBedVkkFra	4203150	Franchisekosten	D	4		
WBedVkkDvd	4203160	Dotatie voorziening dubieuze debiteuren	D	4		
WBedVkkAdd	4203170	Afboeking dubieuze debiteuren	D	4		
WBedVkkDog	4203180	Dotatie garantievoorziening	D	4		
WBedVkkVgv	4203190	Vrijval garantievoorziening	D	4		
WBedVkkWeb	4203200	Websitekosten	D	4		
WBedVkkObs	4203210	Overige belastingen inzake verkoopactiviteiten	D	4		
WBedVkkOvr	4203220	Overige verkoopkosten	D	4		
WBedVkkDbv	4203990	Doorberekende verkoopkosten	C	4		
WBedAutBra	4204010	Brandstofkosten auto's	D	4		
WBedAutRoa	4204020	Reparatie en onderhoud auto's	D	4		
WBedAutAsa	4204030	Assurantiepremie auto's	D	4		
WBedAutMot	4204040	Motorrijtuigenbelasting	D	4		
WBedAutOpa	4204050	Operational leasing auto's	D	4		
WBedAutBwl	4204060	Bijdrage werknemers leaseregeling	D	4		
WBedAutPga	4204070	Privé-gebruik auto's	D	4		
WBedAutBop	4204080	BTW op privé-gebruik auto's	D	4		
WBedAutHua	4204090	Huur auto's	D	4		
WBedAutKil	4204100	Kilometervergoeding	D	4		
WBedAutBeb	4204110	Boetes en bekeuringen	D	4		
WBedAutObv	4204120	Overige belastingen inzake vervoermiddelen	D	4		
WBedAutDrv	4204130	Dotatie reserve assurantie eigen risico vervoermiddelen	D	4		
WBedAutVrv	4204140	Vrijval reserve assurantie eigen risico vervoermiddelen	C	4		
WBedAutDkv	4204150	Dotatie kostenegalisatiereserve groot onderhoud vervoermiddelen	D	4		
WBedAutVkv	4204160	Vrijval kostenegalisatiereserve groot onderhoud vervoermiddelen	C	4		
WBedAutDvv	4204170	Dotatie voorziening groot onderhoud vervoermiddelen	D	4		
WBedAutVoa	4204180	Vrijval voorziening groot onderhoud vervoermiddelen	C	4		
WBedAutPar	4204190	Parkeerkosten	D	4		
WBedAutOak	4204200	Overige autokosten	D	4		
WBedAutDau	4204990	Doorberekende autokosten	C	4		
WBedTraBrr	4205010	Brandstofkosten transportmiddelen	D	4		
WBedTraRot	4205020	Reparatie en onderhoud transportmiddelen	D	4		
WBedTraAst	4205030	Assurantiepremie transportmiddelen	D	4		
WBedTraMot	4205040	Motorrijtuigenbelasting	D	4		
WBedTraOpt	4205050	Operational leasing transportmiddelen	D	4		
WBedTraPgt	4205060	Privé-gebruik transportmiddelen	D	4		
WBedTraBot	4205070	BTW op privé-gebruik transportmiddelen	D	4		
WBedTraHut	4205080	Huur transportmiddelen	D	4		
WBedTraObt	4205090	Overige belastingen inzake transportmiddelen	D	4		
WBedTraDrt	4205100	Dotatie reserve assurantie eigen risico transportmiddelen	D	4		
WBedTraVrt	4205110	Vrijval reserve assurantie eigen risico transportmiddelen	C	4		
WBedTraDkt	4205120	Dotatie kostenegalisatiereserve groot onderhoud transportmiddelen	D	4		
WBedTraVkt	4205130	Vrijval kostenegalisatiereserve groot onderhoud transportmiddelen	C	4		
WBedTraDvt	4205140	Dotatie voorziening groot onderhoud transportmiddelen	D	4		
WBedTraVot	4205150	Vrijval voorziening groot onderhoud transportmiddelen	C	4		
WBedTraPar	4205160	Parkeerkosten	D	4		
WBedTraOtr	4205170	Overige transportkosten	D	4		
WBedTraDot	4205990	Doorberekende transportkosten	C	4		
WBedKanKan	4206010	Kantoorbenodigdheden	D	4		
WBedKanPor	4206020	Porti	D	4		
WBedKanTef	4206030	Telefoon- en faxkosten	D	4		
WBedKanPrt	4206040	Privé-gebruik telefoon	D	4		
WBedKanDru	4206050	Drukwerk	D	4		
WBedKanKak	4206060	Kleine aanschaffingen kantoorinventaris	D	4		
WBedKanCea	4206070	Contributies en abonnementen	D	4		
WBedKanVak	4206080	Vakliteratuur	D	4		
WBedKanBoe	4206090	Boekhouding	D	4		
WBedKanInc	4206100	Incassokosten	D	4		
WBedKanKoa	4206110	Kosten automatisering	D	4		
WBedKanAss	4206120	Assurantiepremie	D	4		
WBedKanOba	4206130	Overige administratieve belastingen	D	4		
WBedKanRok	4206140	Reparatie en onderhoud kantoorinventaris	D	4		
WBedKanOka	4206150	Overige kantoorkosten	D	4		
WBedKanDka	4206990	Doorberekende kantoorkosten	C	4		
WBedOrgHol	4207010	Holdingkosten	D	4		
WBedOrgDmf	4207020	Doorberekende management fee	D	4		
WBedOrgOeo	4207030	Onderzoek en ontwikkeling	D	4		
WBedOrgLgv	4207040	Leges / vergunningen	D	4		
WBedOrgOct	4207050	Octrooi en licentiekosten	D	4		
WBedOrgOok	4207060	Overige organisatiekosten	D	4		
WBedOrgDoo	4207990	Doorberekende organisatiekosten	C	4		
WBedAssBea	4208010	Bedrijfsaansprakelijkheidsverzekering	D	4		
WBedAssOva	4208020	Overige assurantiepremies	D	4		
WBedAssScb	4208030	Schadevergoedingen betaald	D	4		
WBedAssSco	4208040	Schadevergoedingen ontvangen	D	4		
WBedAssDas	4208990	Doorberekende assurantiekosten	C	4		
WBedAeaAov	4209010	"Accountantskosten, onderzoek van de jaarrekening"	D	4		
WBedAeaAac	4209020	"Accountantskosten, andere controleopdrachten"	D	4		
WBedAeaAao	4209030	"Accountantskosten, adviesdiensten op fiscaal terrein"	D	4		
WBedAeaAnc	4209040	"Accountantskosten, andere niet-controlediensten"	D	4		
WBedAeaPda	4209050	Privé-gedeelte accountant	C	4		
WBedAeaNot	4209060	Notariskosten	D	4		
WBedAeaAej	4209070	Advokaat en juridisch advies	D	4		
WBedAeaAdv	4209080	Overige advieskosten	D	4		
WBedAeaDae	4209990	Doorberekende accountants- en advieskosten	C	4		
WBedAdlHef	4210010	Heffingen	D	4		
WBedAdlOvb	4210020	Overige belastingen	C	4		
WBedAdlKav	4210030	Kasverschillen	D	4		
WBedAdlBan	4210040	Bankkosten	D	4		
WBedAdlVal	4210050	Valutaomrekeningsverschillen	D	4		
WBedAdlBov	4210060	Boekingsverschillen	D	4		
WBedAdlBet	4210070	Betalingsverschillen	D	4		
WBedAdlBev	4210080	Boetes en verhogingen belastingen en premies sociale verzekeringen	D	4		
WBedAdlNao	4210090	Naheffing omzetbelasting	D	4		
WBedAdlNbo	4210100	Niet-verrekenbare BTW op kosten	D	4		
WBedAdlBtk	4210110	BTW kleine-ondernemers-regeling	C	4		
WBedAdlOad	4210120	Overige administratieve lasten	D	4		
WBedAdlDal	4210990	Doorberekende administratieve lasten	C	4		
WBedKofBad	4211010	Bestedingen aan doelstelling	D	4		
WBedKofKef	4211020	Kosten eigen fondsenwerwing	D	4		
WBedKofKgf	4211030	Kosten gezamenlijke fondsenwervingsacties	D	4		
WBedKofKfv	4211040	Kosten fondsenwervingsacties van derden	D	4		
WBedKofKvs	4211050	Kosten verkrijging subsidies overheden	D	4		
WBedKseAbs	4212010	Afbouw stamrechtverplichting	D	4		
WBedKseLiu	4212020	Lijfrente-uitkeringen	D	4		
WBedDvrDra	4213010	Dotatie reserve assurantie eigen risico	D	4		
WBedDvrVra	4213020	Vrijval reserve assurantie eigen risico	C	4		
WBedDvrDke	4213030	Dotatie kostenegalisatiereserve	D	4		
WBedDvrVke	4213040	Vrijval kostenegalisatiereserve	C	4		
WBedDvrDex	4213050	Dotatie exportreserve	D	4		
WBedDvrVex	4213060	Vrijval exportreserve	C	4		
WBedDvrDrr	4213070	Dotatie risicoreserve	D	4		
WBedDvrVrr	4213080	Vrijval risicoreserve	C	4		
WBedDvrDhi	4213090	Dotatie herinvesteringsreserve	D	4		
WBedDvrVhi	4213100	Vrijval herinvesteringsreserve	C	4		
WBedDvrDtr	4213110	Dotatie terugkeerreserve	D	4		
WBedDvrVtr	4213120	Vrijval terugkeerreserve	C	4		
WBedDvrDfr	4213130	Dotatie overige fiscale reserves	D	4		
WBedDvrVfr	4213140	Vrijval overige fiscale reserves	C	4		
WBedDvvDvu	4214010	"Dotatie voorziening uit hoofde van claims, geschillen en rechtsgedingen"	D	4		
WBedDvvDvh	4214020	Dotatie voorziening voor herstelkosten	D	4		
WBedDvvDvo	4214030	Dotatie voorziening voor opruiming van aanwezige milieuvervuiling	D	4		
WBedDvvDvc	4214040	Dotatie voorziening voor verlieslatende contracten	D	4		
WBedDvvDvw	4214050	Dotatie voorziening voor verwijderingsverplichtingen	D	4		
WBedDvvDov	4214060	Dotatie overige voorzieningen	D	4		
WBedDvvVvu	4214070	"Vrijval voorziening uit hoofde van claims, geschillen en rechtsgedingen"	C	4		
WBedDvvVvh	4214080	Vrijval voorziening voor herstelkosten	C	4		
WBedDvvVvm	4214090	Vrijval voorziening voor opruiming van aanwezige milieuvervuiling	C	4		
WBedDvvVvc	4214100	Vrijval voorziening voor verlieslatende contracten	C	4		
WBedDvvVvw	4214110	Vrijval voorziening voor verwijderingsverplichtingen	C	4		
WBedDvvVov	4214120	Vrijval overige voorzieningen	C	4		
WBedAlkOal	4215010	Overige algemene kosten	D	4		
WBedAlkDak	4215020	Doorberekende algemene kosten	C	4		
WBedDokDok	4999010	Doorberekende kosten	C	4		
WKprKvgKvg	7001010	Kosten van grond- en hulpstoffen	D	4		
WKprKvpKvp	7002010	Kosten van personeel	D	4		
WKprKuwKuw	7003010	Kosten uitbesteed werk en andere externe kosten	D	4		
WKprKraKra	7004010	Kosten van rente en afschrijvingen	D	4		
WKprInhInh	7005010	Inkoopwaarde handelsgoederen	D	4		
WKprInpInp	7006010	Inkoopwaarde productiegoederen	D	4		
WKprIebIeb	7007010	Inkoopkortingen en bonussen	D	4		
WKprBtkBed	7008010	Betalingskorting debiteuren	D	4		
WKprBtkBec	7008020	Betalingskorting crediteuren	D	4		
WKprKitKit	7009010	Kostprijs intercompany transacties	D	4		
WKprMuoMuo	7010010	Mutatie omzetvorderingen	D	4		
WKprVomVom	7011010	Voorraadmutatie	D	4		
WKprPrgPrg	7012010	Privé-gebruik goederen	C	4		
WKprPrdPrd	7013010	Privé-gebruik diensten	C	4		
WOmzNopOlh	8001010	Omzet leveringen belast met algemeen tarief	C	4		
WOmzNopOlv	8001020	Omzet leveringen belast met verlaagd tarief	C	4		
WOmzNopOlo	8001030	Omzet leveringen belast met overige tarieven	C	4		
WOmzNopOpg	8001040	Omzet privégebruik goederen	C	4		
WOmzNopOlg	8001050	Omzet leveringen belast met nultarief of niet bij u belast	C	4		
WOmzNopOll	8001060	Omzet leveringen waarbij heffing is verlegd	C	4		
WOmzNopOln	8001070	Omzet leveringen naar landen buiten EU	C	4		
WOmzNopOli	8001080	Omzet leveringen in landen binnen EU	C	4		
WOmzNopOla	8001090	Omzet leveringen installatie/afstandsverkopen binnen de EU	C	4		
WOmzNopOlu	8001100	Omzet belaste leveringen uit landen buiten de EU	C	4		
WOmzNopOle	8001110	Omzet belaste leveringen uit landen binnen EU	C	4		
WOmzNopNon	8001120	"Netto-omzet, overboeking naar andere rubriek"	D	4		
WOmzNohOlh	8002010	Omzet leveringen belast met algemeen tarief	C	4		
WOmzNohOlv	8002020	Omzet leveringen belast met verlaagd tarief	C	4		
WOmzNohOlo	8002030	Omzet leveringen belast met overige tarieven	C	4		
WOmzNohOmr	8002040	Omzet leveringen margevoorraden	C	4		
WOmzNohOpg	8002050	Omzet privégebruik goederen	C	4		
WOmzNohOlg	8002060	Omzet leveringen belast met nultarief of niet bij u belast	C	4		
WOmzNohOll	8002070	Omzet leveringen waarbij heffing is verlegd	C	4		
WOmzNohOln	8002080	Omzet leveringen naar landen buiten EU	C	4		
WOmzNohOli	8002090	Omzet leveringen in landen binnen EU	C	4		
WOmzNohOla	8002100	Omzet leveringen installatie/afstandsverkopen binnen de EU	C	4		
WOmzNohOlu	8002110	Omzet belaste leveringen uit landen buiten de EU	C	4		
WOmzNohOle	8002120	Omzet belaste leveringen uit landen binnen EU	C	4		
WOmzNohNon	8002130	"Netto-omzet, overboeking naar andere rubriek"	D	4		
WOmzNodOdh	8003010	Omzet diensten belast met algemeen tarief	C	4		
WOmzNodOdl	8003020	Omzet diensten belast met verlaagd tarief	C	4		
WOmzNodOdo	8003030	Omzet diensten belast met overige tarieven	C	4		
WOmzNodOpd	8003040	Omzet privégebruik diensten	C	4		
WOmzNodOdg	8003050	Omzet diensten belast met nultarief of niet bij u belast	C	4		
WOmzNodOdv	8003060	Omzet diensten waarbij heffing is verlegd	C	4		
WOmzNodOdb	8003070	Omzet diensten naar landen buiten EU	C	4		
WOmzNodOdi	8003080	Omzet diensten in landen binnen EU	C	4		
WOmzNodOda	8003090	Omzet diensten  installatie/afstandsverkopen binnen de EU	C	4		
WOmzNodOdu	8003100	Omzet belaste diensten uit landen buiten de EU	C	4		
WOmzNodOde	8003110	Omzet belaste diensten uit landen binnen EU	C	4		
WOmzNodNon	8003120	"Netto-omzet, overboeking naar andere rubriek"	D	4		
WOmzNooNdr	8004010	"Netto-omzet, per opbrengstcategorie, rente"	C	4		
WOmzNooNdy	8004020	"Netto-omzet, per opbrengstcategorie, royalty's"	C	4		
WOmzNooNdd	8004030	"Netto-omzet, per opbrengstcategorie, dividenden"	C	4		
WOmzNooNdo	8004040	"Netto-omzet, per opbrengstcategorie, overig"	C	4		
WOmzNooNon	8004050	"Netto-omzet, overboeking naar andere rubriek"	D	4		
WOmzOitOit	8005010	Omzet intercompany transacties	C	4		
WOmzKebVek	8006010	Verleende kortingen	D	4		
WOmzKebOmz	8006020	Omzetbonificaties	D	4		
WOmzKebPrv	8006030	Provisies	D	4		
WWivWgpWgp	8101010	Wijziging in voorraden gereed product	D	4		
WWivWowWow	8102010	Wijziging in voorraden onderhanden werk	D	4		
WWivWopWop	8103010	Wijziging in onderhanden projecten in opdracht van derden	D	4		
WWivGpvGpe	8104010	Geactiveerde productie eigen bedrijf	C	4		
WWivGpvPge	8104020	Privé gebruik eigen bedrijf	C	4		
WOvbOnmOnm	8201010	Ontvangen managementvergoeding	C	4		
WOvbOdpOdp	8202010	Ontvangen doorbelasting personeelskosten	C	4		
WOvbBueCol	8203010	Collecten	C	4		
WOvbBueDeg	8203020	Donaties en giften	C	4		
WOvbBueCtb	8203030	Contributies	C	4		
WOvbBueSpo	8203040	Sponsoring	C	4		
WOvbBueNal	8203050	Nalatenschappen	C	4		
WOvbBueEle	8203060	Eigen loterijen en prijsvragen	C	4		
WOvbBueVeg	8203070	Verkoop goederen	C	4		
WOvbBueObu	8203080	Overige baten uit fondsenwerving	C	4		
WOvbBugCol	8204010	Collecten	C	4		
WOvbBugDeg	8204020	Donaties en giften	C	4		
WOvbBugCtb	8204030	Contributies	C	4		
WOvbBugSpo	8204040	Sponsoring	C	4		
WOvbBugNal	8204050	Nalatenschappen	C	4		
WOvbBugEle	8204060	Eigen loterijen en prijsvragen	C	4		
WOvbBugVeg	8204070	Verkoop goederen	C	4		
WOvbBugObu	8204080	Overige baten uit fondsenwerving	C	4		
WOvbBuaCol	8205010	Collecten	C	4		
WOvbBuaDeg	8205020	Donaties en giften	C	4		
WOvbBuaCtb	8205030	Contributies	C	4		
WOvbBuaSpo	8205040	Sponsoring	C	4		
WOvbBuaNal	8205050	Nalatenschappen	C	4		
WOvbBuaEle	8205060	Eigen loterijen en prijsvragen	C	4		
WOvbBuaVeg	8205070	Verkoop goederen	C	4		
WOvbBuaObu	8205080	Overige baten uit fondsenwerving	C	4		
WOvbVezUib	8206010	Uitkering bedrijfsschadeverzekering	C	4		
WOvbVezOvu	8206020	Overige verzekeringsuitkeringen	C	4		
WOvbOrsOel	8207010	Overheidssubsidies exclusief loonkostensubsidies	C	4		
WOvbOrsOsa	8207020	Ontvangen loonsubsidies en afdrachtrestituties	C	4		
WOvbOrsEeo	8207030	Export- en overige restituties en subsidies ingevolge EU-regelingen	C	4		
WOvbOrsOsu	8207040	Overige subsidies	C	4		
WOvbHuoHuo	8208010	Huurontvangsten	C	4		
WOvbOpsOps	8209010	Opbrengsten servicecontracten	C	4		
WOvbNvvNnv	8210010	Netto verkoopresultaat vastgoedportefeuille	C	4		
WOvbCclCcl	8211010	"College-, cursus-, les- en examengelden"	C	4		
WOvbBwiBwi	8212010	Baten werk in opdracht van derden	C	4		
WOvbOvoOvo	8213010	Overige opbrengsten	C	4		
WVheVuhVuh	8301010	Vrijval uit herwaarderingsreserve	C	4		
WVheVeIVeI	8302010	Vrijval egalisatierekening IPR	C	4		
WVheVoeVoe	8303010	Vrijval overige egalisatierekeningen	C	4		
WFbeRofRig	8401010	Rentebaten vorderingen groepsmaatschappijen binnenland	C	4		
WFbeRofRug	8401020	Rentebaten vorderingen groepsmaatschappijen buitenland	C	4		
WFbeRofRvp	8401030	Rentebaten vorderingen participanten en overige deelnemingen	C	4		
WFbeRofRid	8401040	Rentebaten vorderingen op deelnemingen binnenland	C	4		
WFbeRofRud	8401050	Rentebaten vorderingen op deelnemingen buitenland	C	4		
WFbeRofRva	8401060	Rentebaten vorderingen op aandeelhouders	C	4		
WFbeRofRvd	8401070	Rentebaten vorderingen op directie	C	4		
WFbeRofRov	8401080	Rentebaten overige vorderingen	C	4		
WFbeRofDiv	8401090	Dividend effecten	C	4		
WFbeRofOoe	8401100	Opbrengst overige effecten	C	4		
WFbeRofRor	8401110	Rentebaten overige rekeningen-courant	C	4		
WFbeRlmOdr	8402010	Ontvangen depositorente	C	4		
WFbeRlmObr	8402020	Ontvangen bankrente	C	4		
WFbeOrbRbb	8403010	Rentebaten belastingen	C	4		
WFbeOrbAre	8403020	Andere rentebaten en soortgelijke opbrengsten	C	4		
WFbeRlsRal	8404010	Rentelasten achtergestelde leningen	D	4		
WFbeRlsRob	8404020	Rentelasten obligatieleningen	D	4		
WFbeRlsRol	8404030	Rentelasten onderhandse leningen	D	4		
WFbeRlsRhl	8404040	Rentelasten hypethecaire leningen	D	4		
WFbeRlsRle	8404050	Rentelasten overige leningen	D	4		
WFbeRlsRef	8404060	Rentelasten financieringen	D	4		
WFbeRlsRlv	8404070	Rentelasten leaseverplichtingen	D	4		
WFbeRlsRgi	8404080	Rentelasten schulden groepsmaatschappijen binnenland	D	4		
WFbeRlsRgu	8404090	Rentelasten schulden groepsmaatschappijen buitenland	D	4		
WFbeRlsRsp	8404100	Rentelasten schulden participanten en overige deelnemingen	D	4		
WFbeRlsRdi	8404110	Rentelasten schulden aan deelnemingen binnenland	D	4		
WFbeRlsRdu	8404120	Rentelasten schulden aan deelnemingen buitenland	D	4		
WFbeRlsRsa	8404130	Rentelasten schulden aan aandeelhouders	D	4		
WFbeRlsRsd	8404140	Rentelasten schulden aan directie	D	4		
WFbeBwvDee	8405010	Deelnemingen	D	4		
WFbeBwvLvo	8405020	Langlopende vorderingen op deelnemingen	D	4		
WFbeBwvRcm	8405030	Rekening-courant met deelnemingen	D	4		
WFbeBwvOvv	8405040	Overige vorderingen	D	4		
WFbeBwvOef	8405050	Overige effecten	D	4		
WFbeBwvRca	8405060	Rekening-courant aandeelhouder	D	4		
WFbeBwvRcd	8405070	Rekening-courant directie	D	4		
WFbeBwvKov	8405080	Kortlopende vorderingen	D	4		
WFbeBwvLim	8405090	Liquide middelen	D	4		
WFbeOrlRpe	8406010	Rentelasten pensioenverplichtingen	D	4		
WFbeOrlRli	8406020	Rentelasten lijfrenteverplichtingen	D	4		
WFbeOrlRlb	8406030	Rentelasten belastingen	D	4		
WFbeOrlRos	8406040	Rentelasten overige schulden	D	4		
WFbeWisWis	8407010	Wisselkoersverschillen	D	4		
WFbeKvbKvb	8408010	Kosten van beleggingen	D	4		
WFbeKbaKba	8409010	Kosten van beheer en administratie	D	4		
WFbeRedAwd	8410010	Aandeel in winst (verlies) van ondernemingen waarin wordt deelgenomen	C	4		
WFbeRedDvn	8410020	Dotatie voorziening in verband met deelnemingen	D	4		
WFbeRedVvi	8410030	Vrijval voorziening in verband met deelnemingen	D	4		
WFbeRedAwb	8410040	Aandeel in winst (verlies) bestuurders	D	4		
WFbeDfbDrb	8499010	Doorberekende rentebaten	C	4		
WFbeDfbDrl	8499020	Doorberekende rentelasten	C	4		
WFbeDfbDof	8499030	Doorberekende overige financiële baten en lasten	C	4		
WBbeBubBub	8501010	Buitengewone baten	C	4		
WBbeBulBul	8502010	Buitengewone lasten	D	4		
WAadRavRav	9001010	Resultaat aandeel van derden	D	4		
WBelBgrBgr	9002010	Belastingen gewoon resultaat	D	4		
WBelBbrBbr	9003010	Belastingen buitengewoon resultaat	D	4		
WBelVblVbl	9004010	Vrijval belastinglatentie	C	4		
WBelMfoMfo	9005010	Mutatie fiscale oudedagsreserve	D	4		
WNerNewNew	9999010	Nettoresultaat na belastingen	C	4		
